Date,Open,High,Low,Close,Adj Close,Volume
2018-10-22,129.580002,130.440002,128.399994,130.020004,128.384857,5719500
2018-10-23,129.020004,131.899994,128.410004,131.210007,129.559891,6463600
2018-10-24,131.169998,131.690002,127.000000,127.209999,125.610191,5710300
2018-10-25,127.250000,127.790001,125.139999,126.449997,124.859749,10304300
2018-10-26,125.209999,125.779999,123.709999,124.790001,123.220627,8767000
2018-10-29,119.339996,123.949997,118.300003,119.639999,118.135391,20450400
2018-10-30,120.480003,121.500000,115.150002,115.400002,113.948723,21458600
2018-10-31,116.489998,116.500000,114.089996,115.430000,113.978340,21645000
2018-11-01,115.500000,117.000000,115.110001,116.830002,115.360733,13626700
2018-11-02,117.510002,117.750000,114.540001,115.669998,114.215317,10592700
2018-11-05,116.099998,120.769997,116.000000,120.059998,118.550110,9144600
2018-11-06,120.699997,123.809998,120.309998,123.120003,121.571632,9597400
2018-11-07,123.790001,125.059998,122.330002,124.839996,123.269997,12382700
2018-11-08,122.660004,124.400002,122.629997,123.379997,123.379997,10396400
2018-11-09,123.610001,124.570000,121.959999,123.540001,123.540001,6961800
2018-11-12,123.500000,123.570000,120.650002,120.900002,120.900002,5379100
2018-11-13,121.190002,122.250000,119.900002,120.839996,120.839996,4084400
2018-11-14,121.110001,121.930000,119.769997,120.199997,120.199997,4762300
2018-11-15,119.660004,121.440002,119.510002,121.440002,121.440002,5207900
2018-11-16,120.889999,121.849998,120.540001,121.570000,121.570000,4076300
2018-11-19,121.629997,122.180000,119.769997,120.309998,120.309998,4129600
2018-11-20,118.489998,119.489998,116.695503,117.199997,117.199997,6233248
